Luis Miguel,123123123T,34463,email@email.com,Si,Mañana,,Noche,CI
Luis Miguel,1124,266,email@email.com,No,,Tarde,,ME
Luis Miguel,123123123T,353453,email@email.com,Si,Mañana,,,SE
Luis Miguel,123123123T,353453,email@email.com,Si,Mañana,,,SE
Luis Miguel,123123123T,353453,email@email.com,Si,Mañana,,,CI
Luis Miguel,123123123T,34533,email@email.com,Si,Mañana,Tarde,Noche,ME
Luis Miguel,123123123T,4564,email@email.com,Si,Mañana,Tarde,,SE
Pepe,1234,3453,email@email.com,Si,Mañana,,Noche,CI
Pepe,51364929T,16453,email@email,Si,Mañana,,Noche,SE
Pepe,51364929T,468319,email@email,Si,Mañana,Tarde,,CI
Pepe,M44444,652321114,pep@mail.com,Si,Mañana,,Noche,CI
Pepito,M44444,652321114,pep@mail.com,Si,Mañana,,Noche,CI
